age,workclass,fnlwgt,education,education-level,marital,occupation,relationship,race,sex,capital-gain,capital,hours,native,income
1,Self-emp-not-inc,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1,United-States,0
0,?,0,Some-college,10,Never-married,?,Own-child,White,Female,0,0,0,United-States,0
0,Local-gov,0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,0
0,Private,1,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,0
1,Private,0,9th,5,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,1,United-States,1
0,Private,1,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7298,0,1,United-States,1
0,Private,1,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,0
1,Private,0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,0,?,0
0,Private,0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,0,United-States,0
1,Private,0,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,0,United-States,0
1,Private,0,Some-college,10,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,1,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,1
1,Local-gov,0,9th,5,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,0,United-States,0
1,Self-emp-inc,0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0,United-States,1
1,Private,1,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,0,United-States,0
0,Private,1,Preschool,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,Mexico,0
1,Private,1,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,0
1,Private,1,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,0,United-States,0
0,State-gov,0,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,0
1,?,0,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,1,United-States,0
1,Private,1,Preschool,1,Widowed,Priv-house-serv,Other-relative,White,Female,0,0,0,Guatemala,0
1,Private,0,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Male,0,0,0,United-States,0
0,Private,1,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,0,United-States,0
1,Private,0,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,0
0,Private,1,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,0,United-States,0
1,Private,1,Doctorate,16,Widowed,Prof-specialty,Unmarried,White,Male,15020,0,0,Iran,1
1,Self-emp-not-inc,0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99999,0,1,India,1
1,Local-gov,0,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,4865,0,0,United-States,0
0,Private,0,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,0,2258,1,United-States,0
1,State-gov,0,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,0,United-States,0
0,State-gov,1,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,0,0,0,United-States,0
0,Private,0,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,0,United-States,0
0,Private,1,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,0
1,Private,0,12th,8,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,0,United-States,0
1,Self-emp-not-inc,1,HS-grad,9,Divorced,Sales,Own-child,White,Male,0,0,1,?,0
1,Local-gov,0,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0,United-States,1
0,Private,0,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,0
0,Private,1,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,0,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,1,United-States,1
1,Local-gov,0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,1,United-States,0
1,Self-emp-not-inc,0,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,1,United-States,0
1,Private,0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,1,United-States,0
1,Self-emp-not-inc,1,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,3325,0,0,United-States,0
1,Federal-gov,1,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,0,Laos,0
0,Private,1,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,0
1,Self-emp-not-inc,0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3456,0,0,United-States,0
1,Self-emp-not-inc,0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1510,0,United-States,0
1,Self-emp-not-inc,1,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
0,Private,1,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,0,United-States,0
0,Private,1,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,0,United-States,0
1,State-gov,1,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,1,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,0
1,Private,1,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,0
1,Private,0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,0,United-States,0
0,?,0,Some-college,10,Never-married,?,Own-child,White,Female,0,0,0,United-States,0
0,Local-gov,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4386,0,1,Germany,1
0,Private,1,Assoc-voc,11,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,1
1,Private,1,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,0
1,Local-gov,1,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,0,United-States,0
1,Self-emp-inc,1,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,1,Thailand,0
1,Federal-gov,1,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,1
0,Local-gov,0,Assoc-acdm,12,Never-married,Protective-serv,Unmarried,White,Male,0,0,0,United-States,0
0,Private,1,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,0
1,Self-emp-inc,0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1,United-States,0
1,Private,1,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,1
0,Local-gov,1,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,594,0,0,United-States,0
0,Private,1,12th,8,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,1
0,Private,1,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
1,Private,1,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,0,United-States,1
1,Local-gov,1,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,0,United-States,1
1,Private,0,HS-grad,9,Widowed,Handlers-cleaners,Unmarried,White,Female,0,0,0,United-States,0
0,Local-gov,1,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,0,United-States,0
0,Private,0,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,0,United-States,0
0,Private,0,10th,6,Never-married,Other-service,Unmarried,Black,Female,0,0,0,United-States,0
1,Private,1,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,1,United-States,0
0,Private,1,11th,7,Divorced,Craft-repair,Own-child,White,Male,0,0,1,United-States,0
0,Local-gov,1,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
1,Private,1,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,1
1,Private,0,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,0,United-States,0
0,Private,1,11th,7,Never-married,Craft-repair,Not-in-family,White,Male,0,0,0,United-States,0
0,Local-gov,1,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,1,United-States,1
0,Private,0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,Ireland,1
0,Private,0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,0,United-States,0
1,Federal-gov,1,Masters,14,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,1887,0,United-States,1
0,Private,1,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,1,Some-college,10,Separated,Farming-fishing,Other-relative,White,Female,0,0,0,United-States,0
0,?,0,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,0,United-States,0
1,Private,0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,1,United-States,1
1,Private,0,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,0,0,1,United-States,0
0,Self-emp-not-inc,0,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,0
1,Local-gov,1,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,0,United-States,0
1,Private,0,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,1
1,Private,1,Some-college,10,Widowed,Other-service,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,1,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,1
0,Private,1,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,1,United-States,1
1,?,1,Bachelors,13,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,0,Philippines,0
1,Private,0,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,1506,0,0,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
0,?,0,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,1,1st-4th,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,0,0,0,United-States,0
0,Private,0,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,0
0,Private,0,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,0,HS-grad,9,Never-married,Other-service,Not-in-family,Other,Female,0,0,0,United-States,0
1,State-gov,1,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,1
1,Self-emp-inc,1,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605,0,0,United-States,1
1,Private,0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,0,United-States,1
0,Private,1,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,0,0,0,United-States,0
0,Private,1,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,0,United-States,0
0,?,0,Some-college,10,Never-married,?,Own-child,White,Female,0,0,0,United-States,0
1,Private,0,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,0,0,0,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,1
0,Private,1,Assoc-voc,11,Never-married,Sales,Unmarried,Black,Female,0,0,0,United-States,0
0,Private,1,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,1,United-States,0
0,Private,1,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,3464,0,0,United-States,0
1,Self-emp-inc,0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
1,Private,1,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,0
1,Local-gov,0,Bachelors,13,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,1741,0,Vietnam,0
0,Private,0,Assoc-voc,11,Divorced,Sales,Own-child,White,Female,0,0,0,United-States,0
0,Private,0,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,0,United-States,0
0,Self-emp-inc,1,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,1,United-States,1
0,Private,0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,0,Philippines,1
0,Private,0,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,27828,0,1,United-States,1
0,?,1,Assoc-acdm,12,Never-married,?,Not-in-family,White,Male,0,0,0,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
0,Self-emp-not-inc,0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,0
0,Private,1,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,0,United-States,0
0,Private,0,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,0
0,Self-emp-not-inc,1,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,0,United-States,0
1,Private,0,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,1,United-States,0
1,Federal-gov,1,Bachelors,13,Divorced,Tech-support,Unmarried,Black,Female,0,625,0,United-States,0
0,Private,0,HS-grad,9,Never-married,Exec-managerial,Own-child,Other,Female,0,0,0,Mexico,0
1,Private,1,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3432,0,0,United-States,0
1,Self-emp-not-inc,0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,0,United-States,0
0,Private,0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,1
0,Private,1,7th-8th,4,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,0
0,Federal-gov,1,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,1,United-States,1
0,Private,1,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,0,United-States,1
1,Private,0,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,2206,0,United-States,0
0,Self-emp-inc,0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,0
0,Private,1,Assoc-acdm,12,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,0,0,Hong,0
1,Self-emp-not-inc,1,11th,7,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,1,United-States,0
0,Self-emp-not-inc,1,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,1
1,Private,0,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,0,China,0
0,?,0,HS-grad,9,Never-married,?,Own-child,White,Female,0,0,0,United-States,0
0,Self-emp-not-inc,0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,0
0,Private,0,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,0,United-States,0
0,Private,1,7th-8th,4,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,0,Dominican-Republic,0
0,Private,0,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,0
1,Private,1,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,0,United-States,1
1,Private,0,5th-6th,3,Separated,Other-service,Unmarried,Black,Female,0,0,0,Scotland,0
0,Private,0,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
0,Private,1,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,0
1,Private,0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,4787,0,0,United-States,1
0,Private,0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,0,United-States,0
0,Private,1,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,0,United-States,0
1,Federal-gov,0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,1,United-States,0
1,Private,0,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,7298,0,1,India,1
0,Private,1,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0,United-States,0
0,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,0
0,Private,1,11th,7,Divorced,Sales,Unmarried,White,Female,0,0,0,United-States,0
1,Self-emp-inc,1,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,0,United-States,1
1,?,1,10th,6,Widowed,?,Unmarried,White,Female,0,0,0,United-States,0
0,Self-emp-not-inc,1,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,0,United-States,0
1,Private,1,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,0,United-States,1
1,Self-emp-not-inc,1,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,0
1,Private,0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,0,United-States,0
1,Private,0,Bachelors,13,Widowed,Sales,Not-in-family,White,Male,0,0,1,United-States,1
0,Local-gov,0,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,0,United-States,0
0,Private,0,Assoc-voc,11,Never-married,Tech-support,Own-child,White,Male,0,0,0,United-States,0
0,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,0
1,Private,0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0,United-States,1
1,Private,1,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0,United-States,0
0,Private,0,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,White,Female,0,0,1,United-States,0
0,Private,1,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1579,0,United-States,0
0,Private,1,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,0,United-States,1
0,Private,0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,1
0,Federal-gov,1,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,0,United-States,0
1,Self-emp-not-inc,1,Preschool,1,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,0,Haiti,0
1,Private,1,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,0,United-States,1
1,Federal-gov,1,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,1,United-States,1
1,Private,0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0,United-States,0
1,Self-emp-not-inc,0,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,3137,0,1,United-States,0
0,Self-emp-not-inc,1,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,0,United-States,1
0,Private,0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,0
0,Private,1,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,0,Cuba,0
0,Self-emp-not-inc,1,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,1,United-States,1
0,Private,1,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,0,United-States,0
1,Private,1,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,0,United-States,1
1,Private,0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,0
1,Private,1,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0,Mexico,0
0,Private,1,11th,7,Never-married,Adm-clerical,Own-child,White,Female,594,0,0,United-States,0
0,Private,1,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,1
1,Local-gov,1,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Male,0,0,0,United-States,0
0,?,0,10th,6,Never-married,?,Own-child,White,Male,0,0,0,United-States,0
1,Private,1,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,0
0,State-gov,1,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,0
1,Private,0,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,0
1,State-gov,0,1st-4th,2,Widowed,Other-service,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,0,United-States,0
1,Private,1,11th,7,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,0,United-States,0
0,State-gov,0,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,1,Assoc-acdm,12,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,0,United-States,0
1,Private,1,Masters,14,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,0
0,State-gov,0,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0,United-States,0
0,Private,1,11th,7,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,0
0,Private,1,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,0,India,0
1,Private,0,Some-college,10,Divorced,Craft-repair,Unmarried,White,Male,0,0,0,United-States,0
0,Private,1,10th,6,Never-married,Other-service,Own-child,Black,Male,0,0,0,United-States,0
0,Private,1,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,0,United-States,0
0,Self-emp-not-inc,0,HS-grad,9,Separated,Craft-repair,Other-relative,White,Male,0,0,1,United-States,0
0,Private,1,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,0,United-States,0
0,Private,1,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,0
1,Local-gov,1,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,0,Philippines,0
